date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200528,AK,425,47545,,10,,,,,,366,B,5/28/2020 00:00,37e60616c88a6df069f2a7030ec9f82b3978cb83,2020-05-28T20:00:00Z,10,,47970,47970,47970,02,0,0,1594,13,1607
20200528,AL,16310,184171,,,1765,,566,,338,9355,B,5/28/2020 00:00,b774f53f9f66430cb45fa6be6f576eb6ef99e74d,2020-05-28T20:00:00Z,590,1765,200481,200481,200481,01,9,46,4220,467,4687
20200528,AR,6538,112364,,104,640,,,27,118,4583,A,5/27/2020 19:30,e62e173d8cad6fe1acec1555776aa074b3947e0b,2020-05-28T20:00:00Z,120,640,118902,118902,118902,05,0,13,3045,261,3306
20200528,AS,0,174,,,,,,,,,C,5/27/2020 00:00,c8ab6f4513aca84f90b5b0a8124f6717609418d2,2020-05-28T20:00:00Z,0,,174,174,174,60,0,0,0,0,0
20200528,AZ,17763,185151,,945,2848,374,,222,,4452,A+,5/28/2020 00:00,45c769434c737e258af3517aa823e29db459b8c5,2020-05-28T20:00:00Z,857,2848,202914,202914,202914,04,26,817,6147,501,6648
20200528,CA,101697,1688862,,4529,,1325,,,,,B,5/28/2020 00:00,0d6445cf4d68a90656e6555a195d5a9962ef31d6,2020-05-28T20:00:00Z,3973,,1790559,1790559,1790559,06,89,0,50948,2717,53665
20200528,CO,24767,138356,,464,4196,,,,,3783,A,5/28/2020 00:00,47429073013e32fc25412a25d102ed82fd2d8c5b,2020-05-28T20:00:00Z,1392,4196,163123,163123,163123,08,40,36,3501,202,3703
20200528,CT,41559,193966,,648,12538,,,,,7127,B,5/27/2020 20:30,b80aa1e7519d87cc4826d75322b19a7d3bd31d8d,2020-05-28T20:00:00Z,3826,12538,235525,235525,235525,09,57,0,9907,256,10163
20200528,DC,8492,35022,,343,,108,,65,,1082,A+,5/27/2020 00:00,3f9cd5fb4826e55d96651d25152b4b0e455634e9,2020-05-28T20:00:00Z,453,,43514,43514,43514,11,8,0,731,86,817
20200528,DE,9171,47630,,192,,,,,,5010,A,5/27/2020 18:00,da39ed47ae2ed22845d694130a3faaf79621cea8,2020-05-28T20:00:00Z,345,,56801,56801,56801,10,1,0,1305,75,1380
20200528,FL,53285,898331,1158,,10056,,,,,,A,5/28/2020 11:06,8c42f020c41108f56b0f6dc309b25606a65e4930,2020-05-28T20:00:00Z,2446,10056,952774,951616,951616,12,46,157,17394,651,18045
20200528,GA,45070,399576,,903,7767,,1761,,,,A,5/28/2020 13:00,5b127b95bbad149e46a66d70861b87e05917bb61,2020-05-28T20:00:00Z,1962,7767,444646,444646,444646,13,55,101,3241,649,3890
